Аренда,Атырау,"мкр Нурсая, Таумуш Жумагалиев",13000,"1-комн. квартира, 48 м², 5/9 этаж",Посуточно

Продажа,Алматы,Райымбека,23200000,"2-комн. квартира, 48.43 м²",Не указано

Аренда,Астана,"Бектурова-Хан шатыр ,РДЦ",14900,"2-комн. квартира, 45 м², 5/10 этаж",Посуточно

Аренда,Алматы,"мкр Шугыла, Райымбека-Жуалы",250000,"3-комн. квартира, 70 м², 4/9 этаж",Помесячно

Продажа,Алматы,"мкр Акбулак, Момышулы",15400000,"1-комн. квартира, 39.36 м²",Не указано

Продажа,Атырау,Куттыгай батыра,200000000,"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит • 1000 м²",Не указано

Продажа,Байсерке,Карагай,20000000,Отдельный дом • 3 комнаты • 142 м² • 9 сот.,Не указано

Продажа,Алматы,Оспанова,143400000,"3-комн. квартира, 142 м²",Не указано

Аренда,Талдыкорган,Жансугурова,10000,"2-комн. квартира, 60 м², 4/5 этаж",Посуточно

Продажа,Петропавловск,Назарбаева-ДБ Северный,18800000,"3-комн. квартира, 60 м², 4/5 этаж",Не указано

Продажа,Уральск,"ул. Нурсат-16-Вдоль Самарской трассы, напротив гипермаркета ""Дина""",37000000,Отдельный дом • 5 комнат • 170 м² • 8 сот.,Не указано

Аренда,Астана,Сыганак,10000,"1-комн. квартира, 42 м², 17/22 этаж",Посуточно

Продажа,Астана,Е 796,39000000,"3-комн. квартира, 78.04 м²",Не указано

Аренда,Алматы,Бегалина,3900000,Офисы • 326 м²,Не указано

Продажа,Актобе,Камбар ата,238000000,Отдельный дом • 10 комнат • 496 м² • 10 сот.,Не указано

Продажа,Алматы,мкр Мамыр-4,30500000,"1-комн. квартира, 45 м², 5/9 этаж",Не указано

Аренда,Алматы,Абая-Брусиловского,30000,"3-комн. квартира, 104 м², 1/16 этаж",Посуточно

Аренда,Шымкент,"мкр Нурсат 2, Аргынбекова-Шымкент спа по улице Аргынбекова",13000,"1-комн. квартира, 40 м², 3/9 этаж",Посуточно

Аренда,Алматы,Баишева,20000,"2-комн. квартира, 54 м², 10/12 этаж",Посуточно

Продажа,Семей,"Посмакова-Центр, Цум. район Автомеха",32000000,"2-комн. квартира, 50 м², 2/9 этаж",Не указано

Продажа,Актау,микрорайон 29а,11600000,"2-комн. квартира, 70.2 м²",Не указано

Продажа,Астана,Байтурсынова-BINOM мектебі,51000000,"3-комн. квартира, 115 м², 5/7 этаж",Не указано

Аренда,Кызылорда,Шугыла-Микрорайон Шугыла,10000,"1-комн. квартира, 32 м², 1/5 этаж",Посуточно

Аренда,Астана,Кошкарбаева-Coffee Boom,15000,"1-комн. квартира, 55 м², 10/28 этаж",Посуточно

Аренда,Павлодар,Исы Байзакова-Исиналиева,13000,"1-комн. квартира, 31 м², 5/9 этаж",Посуточно

Продажа,Усть-Каменогорск,КШТ 27 микрорайон-27 микрорайон,23300000,Отдельный дом • 4 комнаты • 100 м² • 15 сот.,Не указано

Аренда,Шымкент,Nursat,21000,"2-комн. квартира, 54 м²",Посуточно

Продажа,Астана,Тауелсиздик,17500000,"1-комн. квартира, 35 м², 7/12 этаж",Не указано

Продажа,Шымкент,Спортивный,23500000,"3-комн. квартира, 60 м², 5/5 этаж",Не указано

Аренда,Усть-Каменогорск,Казахстан-Ориентировочно центральный площадь,12000,"2-комн. квартира, 64 м², 9/12 этаж",Посуточно

Аренда,Алматы,Назарбаева-Аль-Фараби,600000,"2-комн. квартира, 62 м², 19/19 этаж",Помесячно

Аренда,Алматы,Бегалина,720000,Офисы • 60 м²,Не указано

Аренда,Алматы,"мкр Калкаман-1, Калкаман-1 мкр",12000,"1-комн. квартира, 25 м², 4/12 этаж",Посуточно

Продажа,Алматы,"мкр Курамыс, Сейдимбек",35000000,"1-комн. квартира, 39 м², 2/3 этаж",Не указано

Продажа,Косшы,Лесная поляна,18000000,"3-комн. квартира, 60 м²",Не указано

Продажа,Алматы,Шафика Чокина-Ташкентская Байзакова,29000000,Отдельный дом • 3 комнаты • 82 м² • 1.8 сот.,Не указано

Аренда,Астана,Анет баба-Мухаммедханова,14000,"1-комн. квартира, 48 м², 12/24 этаж",Посуточно

Продажа,Алматы,Утеген батыра-Grand Park,53500000,"3-комн. квартира, 89.3 м², 16/18 этаж",Не указано

Аренда,Алматы,Мустай Карима-Саина Жандосова ( трц Алматы молл ),10000,"1-комн. квартира, 50 м², 10/11 этаж",Посуточно

Продажа,Туздыбастау (Калинино),Дастур,980000000,Отдельный дом • 8 комнат • 400 м² • 5 сот.,Не указано

Продажа,Астана,Аль-Фараби,61700000,"3-комн. квартира, 115.52 м²",Не указано

Аренда,Алматы,Достык-Рядом с гостиницей Казахстан,18000,"1-комн. квартира, 45 м², 14/15 этаж",Посуточно

Продажа,Кыргауылды,Акжар 7а-Акжар,6000000,Участок 30 соток,Не указано

Аренда,Астана,Калдаяков-Тауелсыздык,260000,"2-комн. квартира, 90 м², 3/22 этаж",Помесячно

Продажа,Астана,Бектурова,55800000,"3-комн. квартира, 86 м², 7/12 этаж",Не указано

Продажа,Каскелен,,18000000,Участок 20 сото,Не указано

Аренда,Кокшетау,"Ш.Уалихaнова-ВТК,Спорт.Бурабай,Смолл",10000,"1-комн. квартира, 42 м², 1/9 этаж",Посуточно

Продажа,Семей,Уранхаева,38000000,"5-комн. квартира, 124 м², 8/9 этаж",Не указано

Аренда,Алматы,Райымбека,250000,"2-комн. квартира, 41 м², 1/12 этаж",Помесячно

Аренда,Астана,Мангилик Ел,350000,"3-комн. квартира, 94 м², 7 этаж",Помесячно

Продажа,Алматы,Оспанова,77200000,"2-комн. квартира, 83.9 м²",Не указано

Аренда,Астана,"Улы Дала-Экспо , Барыс арена",26900,"3-комн. квартира, 90 м², 8 этаж",Посуточно

Продажа,Алматы,"мкр АДК, Мкр Курлысшы-Моцарта Братская",50000000,Отдельный дом • 4 комнаты • 150 м² • 3.3 сот.,Не указано

Аренда,Алматы,Толе би-Толе би Ауэзова,22000,"3-комн. квартира, 17 м², 17/17 этаж",Посуточно

Продажа,7 фот,Алмалык,15000000,Участок 10 соток,Не указано

Аренда,Костанай,Толстого-Каирбекова-Толстого,15000,"2-комн. квартира, 60 м², 6/9 этаж",Посуточно

Продажа,Астана,Улица Е-36 ул,21500000,"2-комн. квартира, 42.57 м², 17/18 этаж",Не указано

Продажа,Алматы,Ауэзова-Гоголя,49000000,"3-комн. квартира, 81 м²",Не указано

Продажа,Астана,Абикена Бектурова,21000000,"2-комн. квартира, 41.41 м²",Не указано

Аренда,Алматы,Панфилова,15000,"2-комн. квартира, 50 м², 3/4 этаж",Посуточно

Продажа,Конаев (Капчагай),"Абая-Не далеко от площади, Акимат рядом, ЦОН, базар, садик, школа в пешей доступности",16000000,"2-комн. квартира, 43 м², 4/4 этаж",Не указано

Продажа,Алматы,Ауэзова,33500000,"2-комн. квартира, 52.3 м²",Не указано

Аренда,Алматы,Егизбаева,300000,"2-комн. квартира, 55 м², 12/13 этаж",Помесячно

Аренда,Павлодар,Назарбаева-Жаяу Мусы,10000,"1-комн. квартира, 42 м², 9/9 этаж",Посуточно

Аренда,Атырау,"мкр Нурсая, Нурсая",14000,"2-комн. квартира, 68 м², 1/6 этаж",Посуточно

Аренда,Алматы,мкр Казахфильм,300000,"2-комн. квартира, 56 м², 3/5 этаж",Помесячно

Аренда,Астана,Мангилик Ел,10000,"1-комн. квартира, 42 м², 7/10 этаж",Посуточно

Продажа,Алматы,Аль-Фараби,85600000,"2-комн. квартира, 90.1 м²",Не указано

Продажа,Алматы,Жунисова-Aport Mall,27000000,"2-комн. квартира, 49.1 м², 3/6 этаж",Не указано

Продажа,Астана,Анет баба,25100000,"2-комн. квартира, 53.29 м²",Не указано

Продажа,Тараз,Аппасова,15000000,Отдельный дом • 4 комнаты • 100 м² • 6 сот.,Не указано

Продажа,8 фот,,30000000,Участок 5 г,Не указано

Аренда,Астана,"мкр Комсомольский, Комсомольский мкр-Коргалбжинское шоссе",150000,"1-комн. квартира, 40 м², 10/10 этаж",Помесячно

Аренда,Алматы,Жандосова-Алтынсарина,13000,"1-комн. квартира, 58 м², 13/17 этаж",Посуточно

Аренда,Алматы,"мкр Таугуль, Таугуль-Джандосова — Берегового",300000,"3-комн. квартира, 70 м², 1/5 этаж",Помесячно

Аренда,Уральск,мкр Кунаева,9000,"1-комн. квартира, 41 м², 2/9 этаж",Посуточно

Продажа,Астана,Нажмеденова,17500000,"1-комн. квартира, 40 м², 9/17 этаж",Не указано

Аренда,Актау,32В мкр,6000,"1-комн. квартира, 40 м², 1/6 этаж",Посуточно

Аренда,Шымкент,Бейбитшилик-Арбат,8500,"1-комн. квартира, 30 м², 4/4 этаж",Посуточно

Аренда,Алматы,Станкевича-Шолохова,13000,"1-комн. квартира, 31 м², 2/3 этаж",Посуточно

Продажа,Астана,Толе би,69400000,"3-комн. квартира, 109.59 м²",Не указано

Продажа,Экибастуз,Ауэзова,14900000,"1-комн. квартира, 49.64 м²",Не указано

Аренда,Астана,Акмешит-Керей-Жанибек Акмешит,150000,"2-комн. квартира, 60 м², 4 этаж",Помесячно

Продажа,Астана,Казыбек Би,15000000,"1-комн. квартира, 36.03 м²",Не указано

Аренда,Уральск,Назарбаева,17000,"1-комн. квартира, 40 м², 2/9 этаж",Посуточно

Продажа,Жезказган,5 район,360000000,Промбаза 1 га,Не указано

Продажа,Косшы,Лесная поляна,13500000,"2-комн. квартира, 60 м², 5/5 этаж",Не указано

Аренда,Актобе,"мкр. Алтын орда, Батыс 2 мкр-Квартира находится возле Апорта и анаға тағзым есть рядом",16000,"2-комн. квартира, 80 м², 1/5 этаж",Посуточно

Продажа,Алматы,Макатаева,39300000,"2-комн. квартира, 65.02 м²",Не указано

Аренда,Алматы,А.Шарипова,2500,"1-комн. квартира, 42 м², 7/12 этаж",По часам

Продажа,Экибастуз,Абая,17500000,"2-комн. квартира, 51.3 м², 5/9 этаж",Не указано

Продажа,Астана,Ш.Калдаякова-А78,25000000,"2-комн. квартира, 71 м², 15/17 этаж",Не указано

Продажа,Усть-Каменогорск,Славского,95000000,"5-комн. квартира, 140 м², 9/9 этаж",Не указано

Аренда,Атырау,мкр Нурсая,13000,"1-комн. квартира, 40 м², 4/5 этаж",Посуточно

Продажа,Алматы,Сейфуллина-акан серы,19500000,"1-комн. квартира, 30 м², 1/4 этаж",Не указано

Аренда,Алматы,Толе би-Айтиева,12000,"1-комн. квартира, 40 м², 9/9 этаж",Посуточно

Аренда,Талдыкорган,Казахстанская-Курманова,100000,2-комнатный дом,Помесячно

Продажа,Алматы,"ул. Момышулы, севернее ул. Монке би",11800000,"1-комн. квартира, 28.1 м²",Не указано

Аренда,Астана,Сыгынак,170000,"1-комн. квартира, 40 м², 7/16 этаж",Помесячно

Аренда,Кокшетау,"Наурызбай батыра-Жк Аружан, назарбаева / наурызбай батыра",11000,"1-комн. квартира, 45 м²",Посуточно

Продажа,Прибрежное,Бостандыкская,35000000,Отдельный дом • 4 комнаты • 140 м² • 10 сот.,Не указано

Аренда,Алматы,Абая-Брусиловского,18000,"1-комн. квартира, 65 м², 12/17 этаж",Посуточно

Продажа,Алматы,Розыбакиева,62800000,"3-комн. квартира, 84.8 м²",Не указано

Продажа,Астана,Енлік-Кебек,63000000,"Банный комплекс, 198 м²",Не указано

Продажа,Актау,"16-й мкр , 16 мкр ЖК Адал",24000000,"2-комн. квартира, 73.4 м², 5/7 этаж",Не указано

Продажа,Алматы,Жарокова-Си Синхая,112200000,"4-комн. квартира, 140.2 м²",Не указано

Продажа,Ащибулак,Нұрбереке-Қиылыс жоқ,25000000,Отдельный дом • 5 комнат • 182.8 м² • 10 сот.,Не указано

Аренда,Шымкент,Бейбитшилик-Республики,15000,"2-комн. квартира, 60 м², 3/4 этаж",Посуточно

Продажа,Жезказган,Байконурова,110000000,Отдельный дом • 5 комнат • 200 м² • 10 сот.,Не указано

Аренда,Семей,Козбагарова,3000000,Свободное назначение • 494 м²,Не указано

Аренда,Павлодар,Академика сатпаева,8000,"1-комн. квартира, 35 м², 2/5 этаж",Посуточно

Продажа,Темирлановка,Сейткасымов-Садикке жакын,15000000,Отдельный дом • 5 комнат • 120 м² • 10 сот.,Не указано

Аренда,Актау,"17-й мкр, 17 мкрн",15000,"2-комн. квартира, 105 м², 10/14 этаж",Посуточно

Аренда,Алматы,"мкр Шугыла, Жуалы",15000,"2-комн. квартира, 60 м²",Посуточно

Продажа,Алматы,"мкр Таусамалы, Жандосова",32100000,"1-комн. квартира, 50.9 м²",Не указано

Аренда,Астана,Богенбай батыра-Ауэзова Сейфуллина Богенбая Алем Шапагат,7000,"1-комн. квартира, 45 м², 2/13 этаж",Посуточно

Аренда,Усть-Каменогорск,Алматинская-Рядом дом учителя,10000,"2-комн. квартира, 32 м², 2/3 этаж",Посуточно

Продажа,Астана,Туран,12700000,"1-комн. квартира, 29.46 м²",Не указано

Аренда,Алматы,Байзакова-Тимирязева,12000,"2-комн. квартира, 45 м², 4/4 этаж",Посуточно

Аренда,Шымкент,мкр Нурсат 2,11000,"1-комн. квартира, 45 м², 5/9 этаж",Посуточно

Продажа,Алматы,Жандосова-Розыбакиева,34300000,"2-комн. квартира, 45.93 м²",Не указано

Аренда,Талдыкорган,Жетису,10000,"2-комн. квартира, 60 м², 3/4 этаж",Посуточно

Аренда,Алматы,мкр Аксай-1,10000,"1-комн. квартира, 35 м², 2/10 этаж",Посуточно

Аренда,Усть-Каменогорск,Потанина,6000,"1-комн. квартира, 33 м²",Посуточно

Аренда,Уральск,"Абая-Универмаг(Новый дом)Ледовый дворец,Тойота Центр.",14000,"1-комн. квартира, 54 м², 9/9 этаж",Посуточно

Продажа,Астана,Аль-Фараби,23100000,"1-комн. квартира, 39.38 м²",Не указано

Продажа,Астана,Е 796,33700000,"3-комн. квартира, 70.93 м²",Не указано

Аренда,Караганда,"мкр Новый Город, Нуркена Абдирова",8000,"1-комн. квартира, 38 м², 2/5 этаж",Посуточно

Аренда,Алматы,Луганского,70000,"5-комн. квартира, 190 м², 8/14 этаж",Посуточно

Продажа,Коксай (Путь Ильича),Устирт,16600000,"2-комн. квартира, 47.4 м²",Не указано

Продажа,Караганда,Ержанова,30300000,"1-комн. квартира, 50.58 м²",Не указано

